"region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",55,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","NOT STR DEMOCRAT","CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",37,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2000
"W. SOU. CENTRAL",NA,"VERY HAPPY",22,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","LIBERAL","MALE",2000
"W. SOU. CENTRAL","$20000 - 24999","NOT TOO HAPPY",33,NA,"NEVER MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE",NA,37,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","GOOD","UNEMPL LAID OFF","IND NEAR DEM","LIBERAL","MALE",2000
"W. SOU. CENTRAL","$20000 - 24999",NA,43,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",29,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","REFUSED","PRETTY HAPPY",57,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","RETIRED","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",31,"AVERAGE","MARRIED","BACHELOR","FAIR","WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",45,"ABOVE AVERAGE","MARRIED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL",NA,"PRETTY HAPPY",36,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$8000 TO 9999","NOT TOO HAPPY",52,"BELOW AVERAGE","NEVER MARRIED","GRADUATE","POOR","OTHER","IND NEAR DEM","EXTREMELY LIBERAL","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",26,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",46,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","STRONG DEMOCRAT","CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",65,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",52,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","IND NEAR REP","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",56,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",66,"ABOVE AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",20,"ABOVE AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",64,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING PARTTIME","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",59,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",46,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","KEEPING HOUSE","NOT STR REPUBLICAN","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",26,"BELOW AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING PARTTIME","NOT STR DEMOCRAT","MODERATE","MALE",2000
"W. SOU. CENTRAL",NA,"PRETTY HAPPY",39,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT",NA,"FEMALE",2000
"W. SOU. CENTRAL","$20000 - 24999","VERY HAPPY",51,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",45,"AVERAGE","DIVORCED","GRADUATE","EXCELLENT","WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$1000 TO 2999","PRETTY HAPPY",23,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","GOOD","KEEPING HOUSE","STRONG DEMOCRAT","EXTREMELY LIBERAL","FEMALE",2000
"W. SOU. CENTRAL",NA,"PRETTY HAPPY",21,"AVERAGE","NEVER MARRIED",NA,"EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$20000 - 24999","VERY HAPPY",26,"BELOW AVERAGE","MARRIED","BACHELOR",NA,"KEEPING HOUSE","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",31,"AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",27,"AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2000
"W. SOU. CENTRAL","$8000 TO 9999","PRETTY HAPPY",78,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","FAIR","RETIRED","IND NEAR DEM","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",29,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","GOOD","WORKING PARTTIME","INDEPENDENT",NA,"FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",43,"AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","KEEPING HOUSE","INDEPENDENT",NA,"MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",61,"AVERAGE","DIVORCED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",33,"AVERAGE","MARRIED","LT HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2000
"E. NOR. CENTRAL","$15000 - 19999","PRETTY HAPPY",34,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2000
"E. NOR. CENTRAL","LT $1000","VERY HAPPY",89,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL",NA,"KEEPING HOUSE","INDEPENDENT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","LT $1000",NA,83,"AVERAGE","WIDOWED","LT HIGH SCHOOL","FAIR","RETIRED","STRONG DEMOCRAT","CONSERVATIVE","FEMALE",2000
"E. NOR. CENTRAL","$1000 TO 2999","PRETTY HAPPY",78,"BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","GOOD","RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",89,"ABOVE AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","OTHER","INDEPENDENT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$5000 TO 5999","PRETTY HAPPY",84,"FAR BELOW AVERAGE","WIDOWED","HIGH SCHOOL","POOR","RETIRED","STRONG DEMOCRAT","LIBERAL","FEMALE",2000
"E. NOR. CENTRAL","REFUSED",NA,69,"FAR BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2000
"E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",32,"FAR BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","REFUSED","NOT TOO HAPPY",76,"AVERAGE","WIDOWED","LT HIGH SCHOOL","FAIR","OTHER","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$7000 TO 7999","NOT TOO HAPPY",41,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","OTHER","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",32,"FAR BELOW AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",29,"AVERAGE","NEVER MARRIED","GRADUATE","FAIR","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",40,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","STRONG DEMOCRAT",NA,"FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",44,"AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","WORKING PARTTIME","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",70,"AVERAGE","WIDOWED","GRADUATE",NA,"RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL",NA,"NOT TOO HAPPY",40,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","TEMP NOT WORKING","IND NEAR DEM","MODERATE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",51,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$10000 - 14999","NOT TOO HAPPY",75,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","POOR","RETIRED","STRONG DEMOCRAT","MODERATE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",22,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",53,"AVERAGE","SEPARATED","BACHELOR","POOR","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","LIBERAL","MALE",2000
"E. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",80,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","RETIRED","NOT STR DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$15000 - 19999","NOT TOO HAPPY",70,"AVERAGE","WIDOWED","LT HIGH SCHOOL","GOOD","RETIRED","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",45,"BELOW AVERAGE","MARRIED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",46,"BELOW AVERAGE","DIVORCED",NA,"GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",24,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",51,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",32,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","MALE",2000
"E. NOR. CENTRAL","REFUSED","VERY HAPPY",53,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT",NA,"FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",52,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING PARTTIME","IND NEAR DEM","EXTREMELY LIBERAL","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",83,"ABOVE AVERAGE","WIDOWED","BACHELOR","GOOD","RETIRED","NOT STR REPUBLICAN","MODERATE","MALE",2000
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",39,"ABOVE AVERAGE","DIVORCED","GRADUATE","EXCELLENT","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2000
"E. NOR. CENTRAL","REFUSED","VERY HAPPY",47,"AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",45,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",48,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","KEEPING HOUSE","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",50,"AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",78,"ABOVE AVERAGE","WIDOWED","HIGH SCHOOL","FAIR","RETIRED","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",2000
"E. NOR. CENTRAL",NA,"NOT TOO HAPPY",45,"AVERAGE","MARRIED","BACHELOR","POOR","OTHER","STRONG REPUBLICAN","LIBERAL","FEMALE",2000
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",56,"ABOVE AVERAGE","DIVORCED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",47,"ABOVE AVERAGE","DIVORCED","BACHELOR","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",72,"AVERAGE","MARRIED","BACHELOR","POOR","RETIRED","STRONG DEMOCRAT","MODERATE","MALE",2000
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",29,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",26,"AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","WORKING PARTTIME","IND NEAR REP","MODERATE","MALE",2000
"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",52,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",39,"AVERAGE","SEPARATED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",30,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",48,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",62,NA,"DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2000
"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",57,"AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","SLIGHTLY LIBERAL","FEMALE",2000
"MIDDLE ATLANTIC","$20000 - 24999","PRETTY HAPPY",60,"ABOVE AVERAGE","SEPARATED","LT HIGH SCHOOL","FAIR","RETIRED","INDEPENDENT","MODERATE","MALE",2000
"MIDDLE ATLANTIC",NA,"VERY HAPPY",47,"AVERAGE","MARRIED","LT HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",2000
"MIDDLE ATLANTIC","$10000 - 14999","NOT TOO HAPPY",55,"AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","OTHER","NOT STR REPUBLICAN","LIBERAL","FEMALE",2000
"MIDDLE ATLANTIC","LT $1000","NOT TOO HAPPY",43,"BELOW AVERAGE","SEPARATED","LT HIGH SCHOOL","POOR","OTHER","NOT STR DEMOCRAT","MODERATE","FEMALE",2000
"MIDDLE ATLANTIC","$5000 TO 5999","VERY HAPPY",31,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR DEMOCRAT","LIBERAL","FEMALE",2000
"MIDDLE ATLANTIC","$10000 - 14999","NOT TOO HAPPY",44,"FAR BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","POOR","UNEMPL LAID OFF","NOT STR DEMOCRAT","LIBERAL","MALE",2000
"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",40,"AVERAGE","DIVORCED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","IND NEAR REP","CONSERVATIVE","MALE",2000
"MIDDLE ATLANTIC","$15000 - 19999","VERY HAPPY",25,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","INDEPENDENT","LIBERAL","FEMALE",2000
"MIDDLE ATLANTIC","$20000 - 24999","PRETTY HAPPY",37,"AVERAGE","DIVORCED","HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2000
"MIDDLE ATLANTIC","REFUSED","NOT TOO HAPPY",56,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","MALE",2000
"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",28,"FAR BELOW AVERAGE","MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT","EXTREMELY LIBERAL","MALE",2000
